dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, VNS, best known solution,d1,d2,d3,d4,d5,d6
u1000_00, 420, 403, 399, 399, 399, 399, 399,0.05263157894736842,0.010025062656641603,0.0,0.0,0.0,0.0
u1000_01, 427, 411, 406, 406, 406, 406, 406,0.05172413793103448,0.012315270935960592,0.0,0.0,0.0,0.0
u1000_02, 433, 416, 413, 413, 411, 411, 411,0.0535279805352798,0.012165450121654502,0.004866180048661801,0.004866180048661801,0.0,0.0
u1000_03, 435, 416, 414, 414, 412, 413, 411,0.058394160583941604,0.012165450121654502,0.0072992700729927005,0.0072992700729927005,0.0024330900243309003,0.004866180048661801
u1000_04, 419, 402, 398, 398, 397, 397, 397,0.055415617128463476,0.012594458438287154,0.0025188916876574307,0.0025188916876574307,0.0,0.0
u1000_05, 421, 404, 400, 400, 399, 399, 399,0.05513784461152882,0.012531328320802004,0.002506265664160401,0.002506265664160401,0.0,0.0
u1000_06, 416, 399, 395, 395, 395, 395, 395,0.053164556962025315,0.010126582278481013,0.0,0.0,0.0,0.0
u1000_07, 426, 408, 405, 405, 404, 404, 404,0.054455445544554455,0.009900990099009901,0.0024752475247524753,0.0024752475247524753,0.0,0.0
u1000_08, 419, 404, 399, 399, 399, 399, 399,0.05012531328320802,0.012531328320802004,0.0,0.0,0.0,0.0
u1000_09, 418, 404, 398, 398, 397, 397, 397,0.05289672544080604,0.017632241813602016,0.0025188916876574307,0.0025188916876574307,0.0,0.0
u1000_10, 420, 404, 401, 401, 400, 400, 400,0.05,0.01,0.0025,0.0025,0.0,0.0
u1000_11, 423, 405, 401, 401, 401, 401, 401,0.05486284289276808,0.00997506234413965,0.0,0.0,0.0,0.0
u1000_12, 414, 398, 394, 394, 393, 393, 393,0.05343511450381679,0.01272264631043257,0.002544529262086514,0.002544529262086514,0.0,0.0
u1000_13, 415, 401, 396, 396, 396, 396, 396,0.047979797979797977,0.012626262626262626,0.0,0.0,0.0,0.0
u1000_14, 415, 400, 395, 395, 394, 394, 394,0.0532994923857868,0.015228426395939087,0.0025380710659898475,0.0025380710659898475,0.0,0.0
u1000_15, 422, 408, 403, 403, 402, 402, 402,0.04975124378109453,0.014925373134328358,0.0024875621890547263,0.0024875621890547263,0.0,0.0
u1000_16, 425, 407, 405, 405, 404, 404, 404,0.05198019801980198,0.007425742574257425,0.0024752475247524753,0.0024752475247524753,0.0,0.0
u1000_17, 422, 409, 405, 405, 404, 404, 404,0.04455445544554455,0.012376237623762377,0.0024752475247524753,0.0024752475247524753,0.0,0.0
u1000_18, 419, 403, 399, 399, 399, 399, 399,0.05012531328320802,0.010025062656641603,0.0,0.0,0.0,0.0
u1000_19, 421, 406, 401, 401, 400, 400, 400,0.0525,0.015,0.0025,0.0025,0.0,0.0
