dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, best known solution
t120_00, 40, 44, 41, 41, 41, 40
t120_01, 40, 44, 41, 41, 41, 40
t120_02, 40, 44, 41, 41, 41, 40
t120_03, 40, 45, 41, 41, 41, 40
t120_04, 40, 45, 41, 41, 41, 40
t120_05, 40, 44, 41, 41, 41, 40
t120_06, 40, 43, 41, 41, 41, 40
t120_07, 40, 44, 41, 41, 41, 40
t120_08, 40, 44, 41, 41, 41, 40
t120_09, 40, 44, 41, 41, 41, 40
t120_10, 40, 44, 41, 41, 41, 40
t120_11, 40, 44, 41, 41, 41, 40
t120_12, 40, 44, 41, 41, 41, 40
t120_13, 40, 44, 41, 41, 41, 40
t120_14, 40, 44, 41, 41, 41, 40
t120_15, 40, 45, 41, 41, 41, 40
t120_16, 40, 45, 41, 41, 41, 40
t120_17, 40, 45, 41, 41, 41, 40
t120_18, 40, 44, 41, 41, 41, 40
t120_19, 40, 44, 41, 41, 41, 40
